HOUSEID,localminute,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,subpanel1,subpanel2,unknown1,unknown2,unknown3,unknown4,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
3.5,41487.00694,2.447008333,1.541575,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04439,0.069575,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.005366667,0,#DIV/0!,0.412658333,#DIV/0!,#DIV/0!,#DIV/0!,-0.006133333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.02415,0.00345,0.007475,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1699125,#DIV/0!,0.00345,0.0966,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0790625,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.698625,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00764,2.740258333,1.798025,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04439,0.069,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.007475,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.00575,0,#DIV/0!,0.437,#DIV/0!,#DIV/0!,#DIV/0!,-0.006708333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0238625,0.00345,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1693375,#DIV/0!,0.00345,0.08395,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0790625,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.69805,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00833,2.751566667,1.810866667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04439,0.069575,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.007475,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.00575,0,#DIV/0!,0.436616667,#DIV/0!,#DIV/0!,#DIV/0!,-0.006708333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0238625,0.00345,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.16905,#DIV/0!,0.00345,0.08395,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0790625,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.698625,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00903,3.211758333,2.198033333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04416,0.07015,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.007475,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.006516667,0,#DIV/0!,0.520375,#DIV/0!,#DIV/0!,#DIV/0!,-0.006708333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.023575,0.00345,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1687625,#DIV/0!,0.00345,0.08395,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.078775,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.94875,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00972,3.27405,2.226783333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04393,0.069575,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.007475,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.006325,0,#DIV/0!,0.52785,#DIV/0!,#DIV/0!,#DIV/0!,-0.006708333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0232875,0.002875,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1687625,#DIV/0!,0.00345,0.08395,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.10925,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.971175,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.01042,3.323116667,2.225441667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04393,0.0692875,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.006133333,0,#DIV/0!,0.527275,#DIV/0!,#DIV/0!,#DIV/0!,-0.0069,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.023575,0.002875,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1687625,#DIV/0!,0.00345,0.08395,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.18515,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.9706,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.01111,3.316791667,2.221033333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04393,0.069575,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.006133333,0,#DIV/0!,0.52785,#DIV/0!,#DIV/0!,#DIV/0!,-0.0069,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0232875,0.002875,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.16905,#DIV/0!,0.00345,0.0851,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1831375,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.9706,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.01181,3.319858333,2.222758333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04393,0.0692875,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.006133333,0,#DIV/0!,0.527275,#DIV/0!,#DIV/0!,#DIV/0!,-0.0069,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.023575,0.002875,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1693375,#DIV/0!,0.00345,0.08395,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1837125,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.96945,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.0125,3.80995,2.604175,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.0437,0.0710125,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.008433333,0,#DIV/0!,0.637675,#DIV/0!,#DIV/0!,#DIV/0!,-0.00575,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.023575,0.002875,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1699125,#DIV/0!,0.00345,0.0851,0.02875,#DIV/0!,0.004025,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1831375,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.968875,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.01319,3.915175,2.695025,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.0437,0.0710125,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.009008333,0,#DIV/0!,0.656266667,#DIV/0!,#DIV/0!,#DIV/0!,-0.005558333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0232875,0.002875,0.0069,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.169625,#DIV/0!,0.00345,0.08395,0.02875,#DIV/0!,0.0043125,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1831375,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.9683,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
